,date,open,high,low,close
26,2022-11-06 21:00:00,21204.13000000,21211.62000000,21110.56000000,21127.33000000
27,2022-11-06 22:00:00,21126.89000000,21175.70000000,21043.92000000,21139.22000000
28,2022-11-06 23:00:00,21138.63000000,21151.13000000,20886.13000000,20905.58000000
29,2022-11-07 00:00:00,20905.58000000,20952.00000000,20836.74000000,20899.11000000
30,2022-11-07 01:00:00,20899.11000000,21004.23000000,20820.00000000,20985.62000000
31,2022-11-07 02:00:00,20986.40000000,21069.77000000,20960.53000000,20987.21000000
32,2022-11-07 03:00:00,20987.21000000,20990.00000000,20878.00000000,20913.82000000
33,2022-11-07 04:00:00,20913.82000000,20914.60000000,20818.65000000,20892.42000000
34,2022-11-07 05:00:00,20891.82000000,20918.33000000,20843.75000000,20858.95000000
35,2022-11-07 06:00:00,20858.95000000,20909.72000000,20776.87000000,20861.43000000
36,2022-11-07 07:00:00,20861.56000000,20868.66000000,20612.67000000,20635.74000000
37,2022-11-07 08:00:00,20635.10000000,20726.49000000,20571.52000000,20716.86000000
38,2022-11-07 09:00:00,20716.86000000,20757.81000000,20680.54000000,20681.13000000
39,2022-11-07 10:00:00,20682.15000000,20811.92000000,20674.00000000,20757.61000000
40,2022-11-07 11:00:00,20757.61000000,20781.77000000,20720.09000000,20733.46000000
41,2022-11-07 12:00:00,20733.97000000,20773.77000000,20688.28000000,20761.00000000
42,2022-11-07 13:00:00,20761.00000000,20798.74000000,20697.58000000,20721.50000000
43,2022-11-07 14:00:00,20720.72000000,20764.29000000,20626.25000000,20654.36000000
44,2022-11-07 15:00:00,20655.04000000,20776.15000000,20644.29000000,20764.95000000
45,2022-11-07 16:00:00,20764.95000000,20803.41000000,20660.00000000,20662.98000000
46,2022-11-07 17:00:00,20662.98000000,20720.37000000,20652.52000000,20703.00000000
47,2022-11-07 18:00:00,20702.60000000,20733.70000000,20685.02000000,20711.71000000
48,2022-11-07 19:00:00,20711.71000000,20892.04000000,20706.63000000,20847.51000000
49,2022-11-07 20:00:00,20848.33000000,20890.71000000,20797.29000000,20804.19000000
50,2022-11-07 21:00:00,20802.69000000,20835.99000000,20616.34000000,20681.03000000
51,2022-11-07 22:00:00,20681.97000000,20685.00000000,20384.89000000,20461.43000000
52,2022-11-07 23:00:00,20460.41000000,20607.00000000,20445.58000000,20591.13000000
53,2022-11-08 00:00:00,20590.67000000,20629.67000000,20499.22000000,20514.25000000
54,2022-11-08 01:00:00,20515.11000000,20638.15000000,20494.53000000,20628.76000000
55,2022-11-08 02:00:00,20628.76000000,20673.38000000,20434.12000000,20444.52000000
